ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,541.33,128,43.25,52184460
4096,2048,528.38,128,42.47,80373132
6144,2048,525.08,128,42.22,108561804
8192,2048,521.66,128,41.46,136750476
10240,2048,518.58,128,41.10,164939148
12288,2048,516.07,128,40.97,193127820
14336,2048,513.51,128,40.75,221316492
16384,2048,511.69,128,41.40,249505164
18432,2048,509.03,128,41.14,277693836
20480,2048,506.41,128,41.07,305882508
22528,2048,504.41,128,40.92,334071180
24576,2048,502.31,128,40.71,362259852
26624,2048,500.28,128,40.59,390448524
28672,2048,498.32,128,40.34,418637196
30720,2048,496.80,128,40.15,446825868
32768,2048,494.83,128,37.90,475014540
