ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,500.49,128,53.68,52184460
4096,2048,486.07,128,52.45,80373132
6144,2048,482.86,128,52.23,108561804
8192,2048,480.66,128,51.03,136750476
10240,2048,477.49,128,50.46,164939148
12288,2048,474.63,128,50.23,193127820
14336,2048,472.24,128,49.98,221316492
16384,2048,470.61,128,51.05,249505164
18432,2048,468.72,128,50.63,277693836
20480,2048,466.76,128,50.49,305882508
22528,2048,464.97,128,50.26,334071180
24576,2048,463.43,128,49.96,362259852
26624,2048,461.55,128,49.75,390448524
28672,2048,459.69,128,49.36,418637196
30720,2048,458.18,128,49.10,446825868
32768,2048,456.56,128,48.89,475014540
34816,2048,455.10,128,44.87,503203212
36864,2048,450.09,128,44.39,531391884
38912,2048,448.75,128,44.48,559580556
40960,2048,447.38,128,44.36,587769228
43008,2048,445.93,128,44.28,615957900
45056,2048,444.82,128,44.13,644146572
47104,2048,443.60,128,44.01,672335244
49152,2048,442.51,128,43.86,700523916
51200,2048,440.51,128,43.64,728712588
53248,2048,439.52,128,43.51,756901260
55296,2048,438.32,128,43.19,785089932
57344,2048,437.14,128,43.15,813278604
59392,2048,435.99,128,42.97,841467276
61440,2048,434.84,128,42.73,869655948
63488,2048,433.74,128,42.53,897844620
65536,2048,432.73,128,42.19,926033292
