ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,370.15,128,43.18,52184460
4096,2048,361.30,128,42.35,80373132
6144,2048,360.43,128,42.18,108561804
8192,2048,358.76,128,41.41,136750476
10240,2048,356.70,128,40.97,164939148
12288,2048,354.63,128,40.83,193127820
14336,2048,352.72,128,40.65,221316492
16384,2048,351.49,128,41.35,249505164
18432,2048,350.08,128,41.09,277693836
20480,2048,348.84,128,41.01,305882508
22528,2048,347.65,128,40.82,334071180
24576,2048,346.36,128,40.61,362259852
26624,2048,345.08,128,40.48,390448524
28672,2048,343.84,128,40.21,418637196
30720,2048,342.94,128,40.04,446825868
32768,2048,341.97,128,37.80,475014540
