ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,497.56,128,46.74,52184460
4096,2048,485.48,128,45.86,80373132
6144,2048,482.58,128,45.70,108561804
8192,2048,480.26,128,44.68,136750476
10240,2048,477.57,128,44.30,164939148
12288,2048,475.58,128,44.13,193127820
14336,2048,473.55,128,43.95,221316492
16384,2048,472.21,128,44.76,249505164
18432,2048,470.50,128,44.45,277693836
20480,2048,468.85,128,44.35,305882508
22528,2048,467.35,128,44.20,334071180
24576,2048,465.47,128,43.95,362259852
26624,2048,463.92,128,43.80,390448524
28672,2048,462.41,128,43.50,418637196
30720,2048,461.16,128,43.31,446825868
32768,2048,459.76,128,40.74,475014540
34816,2048,454.72,128,39.97,503203212
36864,2048,453.66,128,39.65,531391884
38912,2048,452.50,128,39.72,559580556
40960,2048,451.31,128,39.63,587769228
43008,2048,449.88,128,39.56,615957900
45056,2048,448.65,128,39.44,644146572
47104,2048,447.55,128,39.34,672335244
49152,2048,446.59,128,39.19,700523916
51200,2048,444.65,128,39.03,728712588
53248,2048,443.63,128,38.91,756901260
55296,2048,442.74,128,38.67,785089932
57344,2048,441.57,128,38.61,813278604
59392,2048,440.32,128,38.48,841467276
61440,2048,439.21,128,38.26,869655948
63488,2048,438.22,128,38.12,897844620
65536,2048,437.33,128,37.88,926033292
