ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,509.62,128,44.78,52184460
4096,2048,497.83,128,43.93,80373132
6144,2048,494.86,128,43.72,108561804
8192,2048,491.70,128,42.85,136750476
10240,2048,488.66,128,42.51,164939148
12288,2048,486.30,128,42.35,193127820
14336,2048,484.11,128,42.15,221316492
16384,2048,482.55,128,42.83,249505164
18432,2048,479.78,128,42.54,277693836
20480,2048,477.45,128,42.43,305882508
22528,2048,475.58,128,42.31,334071180
24576,2048,473.72,128,42.11,362259852
26624,2048,471.91,128,41.97,390448524
28672,2048,470.21,128,41.68,418637196
30720,2048,468.66,128,41.47,446825868
32768,2048,466.99,128,39.10,475014540
34816,2048,461.49,128,38.34,503203212
36864,2048,459.72,128,38.03,531391884
38912,2048,458.28,128,38.10,559580556
40960,2048,456.75,128,38.01,587769228
43008,2048,455.26,128,37.95,615957900
45056,2048,453.67,128,37.83,644146572
47104,2048,452.37,128,37.74,672335244
49152,2048,450.98,128,37.61,700523916
51200,2048,449.06,128,37.48,728712588
53248,2048,447.68,128,37.38,756901260
55296,2048,446.47,128,37.14,785089932
57344,2048,445.09,128,37.11,813278604
59392,2048,443.89,128,36.97,841467276
61440,2048,442.64,128,36.80,869655948
63488,2048,441.36,128,36.64,897844620
65536,2048,440.25,128,36.38,926033292
