ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,370.82,128,46.75,52184460
4096,2048,363.80,128,45.85,80373132
6144,2048,361.09,128,45.66,108561804
8192,2048,359.33,128,44.68,136750476
10240,2048,357.43,128,44.26,164939148
12288,2048,355.73,128,44.01,193127820
14336,2048,353.56,128,43.86,221316492
16384,2048,352.36,128,44.65,249505164
18432,2048,350.88,128,44.35,277693836
20480,2048,349.57,128,44.26,305882508
22528,2048,348.42,128,44.10,334071180
24576,2048,347.30,128,43.83,362259852
26624,2048,346.15,128,43.67,390448524
28672,2048,344.77,128,43.36,418637196
30720,2048,343.87,128,43.16,446825868
32768,2048,342.81,128,40.61,475014540
34816,2048,339.84,128,39.83,503203212
36864,2048,338.97,128,39.52,531391884
38912,2048,338.22,128,39.57,559580556
40960,2048,337.34,128,39.49,587769228
43008,2048,336.52,128,39.42,615957900
45056,2048,335.68,128,39.30,644146572
47104,2048,334.98,128,39.20,672335244
49152,2048,334.28,128,39.08,700523916
51200,2048,333.05,128,38.91,728712588
53248,2048,332.27,128,38.80,756901260
55296,2048,331.54,128,38.56,785089932
57344,2048,330.77,128,38.52,813278604
59392,2048,330.08,128,38.38,841467276
61440,2048,329.48,128,38.19,869655948
63488,2048,328.71,128,38.02,897844620
65536,2048,328.06,128,37.74,926033292
