ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,488.87,128,46.58,52184460
4096,2048,478.23,128,45.67,80373132
6144,2048,475.85,128,45.53,108561804
8192,2048,474.48,128,44.59,136750476
10240,2048,472.48,128,44.21,164939148
12288,2048,470.95,128,44.03,193127820
14336,2048,469.53,128,43.85,221316492
16384,2048,468.94,128,44.66,249505164
18432,2048,467.81,128,44.37,277693836
20480,2048,466.46,128,44.26,305882508
22528,2048,465.45,128,44.12,334071180
24576,2048,464.24,128,43.89,362259852
26624,2048,462.84,128,43.73,390448524
28672,2048,461.59,128,43.43,418637196
30720,2048,460.63,128,43.24,446825868
32768,2048,459.44,128,40.67,475014540
34816,2048,454.64,128,39.90,503203212
36864,2048,453.56,128,39.57,531391884
38912,2048,452.67,128,39.65,559580556
40960,2048,451.53,128,39.55,587769228
43008,2048,450.45,128,39.49,615957900
45056,2048,449.51,128,39.37,644146572
47104,2048,448.22,128,39.26,672335244
49152,2048,447.10,128,39.14,700523916
51200,2048,445.36,128,38.98,728712588
53248,2048,444.29,128,38.87,756901260
55296,2048,443.24,128,38.63,785089932
57344,2048,442.20,128,38.58,813278604
59392,2048,441.14,128,38.45,841467276
61440,2048,440.03,128,38.25,869655948
63488,2048,439.12,128,38.09,897844620
65536,2048,438.34,128,37.81,926033292
