ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,371.34,128,46.78,52184460
4096,2048,364.15,128,45.88,80373132
6144,2048,361.50,128,45.70,108561804
8192,2048,359.63,128,44.74,136750476
10240,2048,357.78,128,44.33,164939148
12288,2048,356.12,128,44.06,193127820
14336,2048,354.17,128,43.89,221316492
16384,2048,352.82,128,44.69,249505164
18432,2048,351.31,128,44.40,277693836
20480,2048,349.93,128,44.30,305882508
22528,2048,348.82,128,44.15,334071180
24576,2048,347.59,128,43.85,362259852
26624,2048,346.45,128,43.70,390448524
28672,2048,345.11,128,43.41,418637196
30720,2048,343.99,128,43.20,446825868
32768,2048,342.95,128,43.03,475014540
34816,2048,342.10,128,39.91,503203212
36864,2048,339.23,128,39.54,531391884
38912,2048,338.35,128,39.60,559580556
40960,2048,337.57,128,39.51,587769228
43008,2048,336.73,128,39.44,615957900
45056,2048,335.99,128,39.33,644146572
47104,2048,335.17,128,39.23,672335244
49152,2048,334.42,128,39.11,700523916
51200,2048,333.24,128,38.94,728712588
53248,2048,332.46,128,38.84,756901260
55296,2048,331.82,128,38.59,785089932
57344,2048,330.99,128,38.54,813278604
59392,2048,330.19,128,38.40,841467276
61440,2048,329.59,128,38.21,869655948
63488,2048,328.93,128,38.05,897844620
65536,2048,328.28,128,37.77,926033292
