ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,489.00,128,46.59,52184460
4096,2048,478.37,128,45.68,80373132
6144,2048,476.09,128,45.53,108561804
8192,2048,474.40,128,44.59,136750476
10240,2048,472.27,128,44.21,164939148
12288,2048,470.82,128,44.04,193127820
14336,2048,469.35,128,43.86,221316492
16384,2048,468.55,128,44.66,249505164
18432,2048,467.24,128,44.37,277693836
20480,2048,466.01,128,44.27,305882508
22528,2048,464.94,128,44.12,334071180
24576,2048,463.97,128,43.90,362259852
26624,2048,462.82,128,43.74,390448524
28672,2048,461.47,128,43.44,418637196
30720,2048,460.38,128,43.24,446825868
32768,2048,459.18,128,43.07,475014540
34816,2048,458.06,128,39.95,503203212
36864,2048,453.34,128,39.58,531391884
38912,2048,452.32,128,39.65,559580556
40960,2048,451.13,128,39.56,587769228
43008,2048,450.28,128,39.48,615957900
45056,2048,449.22,128,39.38,644146572
47104,2048,448.06,128,39.27,672335244
49152,2048,447.13,128,39.15,700523916
51200,2048,445.20,128,38.98,728712588
53248,2048,444.34,128,38.88,756901260
55296,2048,443.17,128,38.64,785089932
57344,2048,442.03,128,38.59,813278604
59392,2048,440.86,128,38.45,841467276
61440,2048,440.03,128,38.25,869655948
63488,2048,438.92,128,38.09,897844620
65536,2048,438.11,128,37.82,926033292
