ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,450.65,128,45.20,52184460
4096,2048,440.95,128,44.34,80373132
6144,2048,438.00,128,44.16,108561804
8192,2048,435.57,128,43.28,136750476
10240,2048,433.16,128,42.91,164939148
12288,2048,431.27,128,42.72,193127820
14336,2048,429.21,128,42.49,221316492
16384,2048,427.30,128,43.22,249505164
18432,2048,425.31,128,42.94,277693836
20480,2048,423.54,128,42.85,305882508
22528,2048,421.91,128,42.71,334071180
24576,2048,420.43,128,42.50,362259852
26624,2048,418.89,128,42.33,390448524
28672,2048,417.34,128,42.02,418637196
30720,2048,416.10,128,41.83,446825868
32768,2048,414.59,128,39.42,475014540
34816,2048,410.01,128,38.68,503203212
36864,2048,408.97,128,38.37,531391884
38912,2048,407.44,128,38.44,559580556
40960,2048,406.29,128,38.35,587769228
43008,2048,405.08,128,38.28,615957900
45056,2048,404.05,128,38.17,644146572
47104,2048,402.90,128,38.08,672335244
49152,2048,401.87,128,37.96,700523916
51200,2048,400.16,128,37.80,728712588
53248,2048,399.01,128,37.70,756901260
55296,2048,398.02,128,37.48,785089932
57344,2048,396.97,128,37.43,813278604
59392,2048,395.99,128,37.30,841467276
61440,2048,394.99,128,37.11,869655948
63488,2048,394.04,128,36.97,897844620
65536,2048,393.14,128,36.70,926033292
