ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,516.84,128,43.50,52184460
4096,2048,504.80,128,42.68,80373132
6144,2048,500.95,128,42.47,108561804
8192,2048,498.32,128,41.69,136750476
10240,2048,495.46,128,41.34,164939148
12288,2048,492.99,128,41.16,193127820
14336,2048,490.60,128,40.92,221316492
16384,2048,488.28,128,41.63,249505164
18432,2048,485.93,128,41.36,277693836
20480,2048,483.83,128,41.29,305882508
22528,2048,481.98,128,41.15,334071180
24576,2048,480.08,128,40.94,362259852
26624,2048,478.17,128,40.80,390448524
28672,2048,476.42,128,40.50,418637196
30720,2048,474.76,128,40.31,446825868
32768,2048,472.96,128,38.04,475014540
