ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,501.01,128,53.73,52184460
4096,2048,486.86,128,52.45,80373132
6144,2048,483.58,128,52.26,108561804
8192,2048,481.16,128,51.05,136750476
10240,2048,478.33,128,50.48,164939148
12288,2048,475.35,128,50.23,193127820
14336,2048,472.68,128,49.99,221316492
16384,2048,471.27,128,51.06,249505164
18432,2048,469.26,128,50.65,277693836
20480,2048,467.24,128,50.52,305882508
22528,2048,465.39,128,50.27,334071180
24576,2048,463.48,128,49.98,362259852
26624,2048,461.59,128,49.75,390448524
28672,2048,460.00,128,49.38,418637196
30720,2048,458.46,128,49.11,446825868
32768,2048,456.83,128,48.89,475014540
34816,2048,455.27,128,47.83,503203212
36864,2048,454.10,128,47.36,531391884
38912,2048,452.76,128,47.06,559580556
40960,2048,451.16,128,44.42,587769228
43008,2048,446.38,128,44.27,615957900
45056,2048,444.98,128,44.12,644146572
47104,2048,443.75,128,44.01,672335244
49152,2048,442.66,128,43.85,700523916
51200,2048,440.70,128,43.64,728712588
53248,2048,439.53,128,43.51,756901260
55296,2048,438.39,128,43.19,785089932
57344,2048,437.29,128,43.15,813278604
59392,2048,436.17,128,42.98,841467276
61440,2048,435.07,128,42.73,869655948
63488,2048,433.90,128,42.52,897844620
65536,2048,432.81,128,42.18,926033292
