policy,ctx_tokens,prefill_tps,gen_tps,kvcache_bytes
topk8704,34816,495.15,45.36,503203212
topk10240,34816,481.23,48.26,503203212
topk12288,34816,478.95,48.28,503203212
topk8704,36864,467.82,45.01,531391884
topk10240,36864,463.50,47.98,531391884
topk12288,36864,463.26,47.98,531391884
topk8704,38912,466.68,45.00,559580556
topk10240,38912,463.83,47.57,559580556
topk12288,38912,463.79,47.57,559580556
topk8704,40960,465.41,44.90,587769228
topk10240,40960,463.39,44.86,587769228
topk12288,40960,463.48,47.56,587769228
topk8704,43008,464.12,44.79,615957900
topk10240,43008,459.09,44.72,615957900
topk12288,43008,462.96,47.43,615957900
topk8704,45056,462.77,44.66,644146572
topk10240,45056,458.09,44.60,644146572
topk12288,45056,461.97,46.11,644146572
topk8704,47104,461.24,44.54,672335244
topk10240,47104,456.99,44.48,672335244
topk12288,47104,460.41,45.97,672335244
topk8704,49152,459.87,44.34,700523916
topk10240,49152,456.15,44.30,700523916
topk12288,49152,459.31,44.32,700523916
